Naam,Ploeg,Prijs (M),#Koersen,OML,KBK,SAM,STRADE,NK,BKC,MSR,RVB,E3,GW,DDV,RVV,SCHELD,PR,RVL,BP,AG,WP,LBL,Totaal_Verwacht,Punten_per_Miljoen
Pogačar Tadej,UAE Team Emirates - XRG,14,5,0.0,0.0,0.0,119.8,0.0,0.0,134.8,0.0,0.0,0.0,0.0,145.9,0.0,348.4,0.0,0.0,0.0,0.0,147.6,896.5,64.04
van der Poel Mathieu,Alpecin - Premier Tech,14,6,97.3,0.0,0.0,0.0,0.0,0.0,82.1,0.0,100.9,38.8,0.0,100.9,0.0,337.4,0.0,0.0,0.0,0.0,0.0,757.4,54.1
Philipsen Jasper,Alpecin - Premier Tech,9,9,49.0,34.6,0.0,0.0,66.8,0.0,31.9,42.6,0.0,65.6,42.0,0.0,197.6,138.9,14.1,0.0,0.0,0.0,0.0,683.1,75.9
Pedersen Mads,Lidl - Trek,10,6,0.0,0.0,0.0,0.0,0.0,0.0,76.8,0.0,56.7,80.4,48.5,78.2,0.0,194.8,0.0,0.0,0.0,0.0,0.0,535.4,53.54
van Aert Wout,Team Visma | Lease a Bike,11,5,0.0,0.0,16.3,40.3,0.0,0.0,79.1,0.0,0.0,22.0,77.7,70.5,0.0,180.4,0.0,0.0,0.0,0.0,0.0,486.3,44.21
Laporte Christophe,Team Visma | Lease a Bike,5,9,49.6,15.9,28.9,0.0,0.0,0.0,30.1,0.0,40.2,56.9,41.1,46.5,0.0,67.6,0.0,0.0,37.8,0.0,0.0,414.6,82.92
Meeus Jordi,Red Bull - BORA - hansgrohe,5,7,41.5,26.8,65.5,0.0,55.1,0.0,0.0,0.0,0.0,26.8,0.0,0.0,107.2,42.4,0.0,0.0,0.0,0.0,0.0,365.3,73.06
Merlier Tim,Soudal Quick-Step,8,4,0.0,0.0,0.0,0.0,0.0,34.7,0.0,55.6,0.0,56.5,0.0,0.0,178.0,32.3,0.0,0.0,0.0,0.0,0.0,357.1,44.64
Pidcock Thomas,Pinarello - Q36.5 Pro Cycling,8,7,21.0,0.0,0.0,58.7,0.0,0.0,67.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.2,56.8,60.2,53.5,351.2,43.9
Andresen Tobias Lund,Decathlon CMA CGM Team,4,6,45.5,34.3,0.0,0.0,0.0,0.0,39.9,16.1,46.5,70.5,39.7,0.0,0.0,0.0,23.6,0.0,0.0,0.0,0.0,316.1,79.03
Mozzato Luca,Tudor Pro Cycling Team,4,3,8.6,38.0,0.0,0.0,20.4,30.6,0.0,28.8,19.7,34.6,23.3,35.7,0.0,27.9,0.0,0.0,0.0,0.0,0.0,267.6,66.9
Groenewegen Dylan,Unibet Rose Rockets,4,6,0.0,9.4,9.4,0.0,0.0,49.8,0.0,28.3,0.0,0.0,0.0,0.0,140.1,0.0,25.3,0.0,0.0,0.0,0.0,262.3,65.58
Ganna Filippo,INEOS Grenadiers,7,2,0.0,0.0,0.0,0.0,0.0,0.0,36.8,0.0,0.0,14.6,80.7,0.0,0.0,114.3,0.0,0.0,0.0,0.0,0.0,246.4,35.2
Hofstetter Hugo,NSN Cycling Team,5,8,0.0,27.5,38.4,0.0,21.3,18.7,0.0,11.8,26.8,20.0,0.0,31.3,34.4,13.9,0.0,0.0,0.0,0.0,0.0,244.1,48.82
Vermeersch Florian,UAE Team Emirates - XRG,5,10,38.8,5.0,0.0,9.8,0.0,0.0,10.0,10.1,40.1,7.8,8.1,13.3,0.0,94.6,3.7,0.0,0.0,0.0,0.0,241.3,48.26
Rex Laurenz,Soudal Quick-Step,4,5,0.0,30.6,54.5,0.0,18.3,18.3,9.7,25.6,0.0,26.4,0.0,15.4,0.0,32.8,7.6,0.0,0.0,0.0,0.0,239.2,59.8
